Item,Job_Title,Company_Name,Location,Url
190,.NET Developer – Payment Systems Services,OBSS,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/net-developer-%E2%80%93-payment-systems-services-at-obss-4125916111?position=1&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=E82EDBg1tlOeN8g4kQhkhg%3D%3D
191,Artificial Intelligence Engineer,TELPA A.Ş.,"Istanbul, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/artificial-intelligence-engineer-at-telpa-a-%C5%9F-4279451825?position=2&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=hguMJ4b6JPP09%2F2kxaPufQ%3D%3D
192,PHP Developer,Sipay,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/php-developer-at-sipay-4281789378?position=3&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=ulUPet%2BLzl9%2Bs0Zouqey%2BA%3D%3D
193,Robotics Software Engineer,Forkon Robotics,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/robotics-software-engineer-at-forkon-robotics-4247693849?position=4&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=zAw5%2BqFX4joQYnlyQe5Lfg%3D%3D
194,Senior Full Stack Engineer,Cherry,Türkiye,https://tr.linkedin.com/jobs/view/senior-full-stack-engineer-at-cherry-4280024425?position=5&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=xIYQ2AZVTlQZMGpE4Zghmw%3D%3D
195,Artificial Intelligence Engineer,Arena,Türkiye,https://tr.linkedin.com/jobs/view/artificial-intelligence-engineer-at-arena-4268076583?position=6&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=ZpyK3AKXvtmihDOcm4bLtw%3D%3D
196,Junior Unity Developer,CodeMiner,"Ankara, Ankara, Türkiye",https://tr.linkedin.com/jobs/view/junior-unity-developer-at-codeminer-4287100823?position=7&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=o%2Br1OKiTWT3dmVeBX6pvag%3D%3D
197,Senior Backend ML/AI Developer,NewMind AI,"Sariyer, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/senior-backend-ml-ai-developer-at-newmind-ai-4289822982?position=8&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=rxJ3iFYb77w7Cms%2BPHKaiA%3D%3D
198,Senior Backend Developer,NewMind AI,"Sariyer, Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/senior-backend-developer-at-newmind-ai-4280749860?position=9&pageNum=35&refId=W5YCaqsoySt193zvnX6E6A%3D%3D&trackingId=xPNKi98c%2Fj7wNmww6QigwA%3D%3D
199,Software Engineer (Frontend),ICterra Information and Communication Technologies,"Ankara, Türkiye",https://tr.linkedin.com/jobs/view/software-engineer-frontend-at-icterra-information-and-communication-technologies-4291130953?position=1&pageNum=37&refId=7uv7A9hEL67blYn8NA5Epg%3D%3D&trackingId=K4dWjnq9fv0M%2B%2FC839Vn7w%3D%3D
200,Expert Web Developer - Hybrid,Pegasus Airlines,"Istanbul, Türkiye",https://tr.linkedin.com/jobs/view/expert-web-developer-hybrid-at-pegasus-airlines-4285502594?position=2&pageNum=37&refId=7uv7A9hEL67blYn8NA5Epg%3D%3D&trackingId=XxCuFa8g9lNLi6Tf99HFIQ%3D%3D
